Block,Area_m2,MeanDepth_m,Volume_m3,OutsideLease
Block-1,133600.0,2.0,184201.8,Yes
Block-2,192300.0,2.09,247836.9,Yes
Block-3,133100.0,3.26,305838.2,Yes
TOTAL,459000.0,-,737876.8999999999,459000.0 m² VIOLATION
