Block,Area_m2,MeanDepth_m,Volume_m3
Block-169,900.0,2.46,2151.7
Block-170,2500.0,6.84,17167.1
Block-171,1800.0,7.27,12900.3
Block-172,5000.0,7.2,34473.8
Block-173,900.0,4.65,4197.2
Block-174,7500.0,11.36,82889.5
Block-175,13800.0,10.74,147824.0
Block-176,900.0,2.92,2652.5
Block-177,7100.0,7.01,51859.5
Block-178,1800.0,7.21,12843.5
Block-179,3400.0,6.08,21058.7
Block-180,6300.0,11.5,65115.2
Block-181,5900.0,14.0,81154.1
Block-182,900.0,4.59,4027.0
Block-183,1200.0,4.3,5284.1
Block-184,900.0,2.93,2719.1
Block-185,300600.0,11.99,3532714.5
Block-186,900.0,4.58,4189.4
Block-187,6900.0,7.78,50300.3
Block-188,20300.0,14.5,275726.8
Block-189,900.0,4.9,4332.4
Block-190,900.0,3.59,3389.8
Block-191,900.0,4.71,4236.4
Block-192,7100.0,10.13,69217.3
Block-193,1800.0,4.21,7719.5
Block-194,900.0,3.6,3286.5
Block-195,900.0,7.22,6484.1
Block-196,2600.0,6.67,17091.0
Block-197,2400.0,5.88,13656.9
Block-198,1200.0,2.04,2383.6
Block-199,2900.0,3.46,9705.9
Block-200,22900.0,9.37,223884.0
Block-201,8900.0,11.02,94398.0
Block-202,1500.0,2.81,4403.4
Block-203,900.0,2.39,2090.9
Block-204,14600.0,5.95,100125.4
Block-205,900.0,3.69,3354.1
Block-206,900.0,4.81,4297.8
Block-207,3700.0,1.68,7101.2
Block-208,900.0,3.81,3439.1
Block-209,900.0,5.35,4759.3
Block-210,7600.0,14.19,105903.4
Block-211,900.0,4.33,3928.2
Block-212,900.0,5.12,4736.2
Block-213,13300.0,8.03,103950.8
Block-214,1800.0,4.48,8468.9
Block-215,6800.0,5.0,37917.2
Block-216,59500.0,13.64,808710.3
Block-217,10200.0,8.29,78944.4
Block-218,3000.0,10.87,32930.6
Block-219,2900.0,5.35,15100.0
Block-220,58400.0,20.72,1133486.3
Block-221,1900.0,6.63,11956.5
Block-222,900.0,2.41,2206.3
Block-223,2400.0,4.63,10797.9
Block-224,1200.0,8.49,9988.9
Block-225,900.0,3.44,3201.7
Block-226,900.0,3.11,2789.2
Block-227,19200.0,5.98,127702.9
Block-228,900.0,2.75,2640.0
Block-229,5100.0,10.46,48998.5
Block-230,1800.0,6.08,11050.7
Block-231,1800.0,0.84,1494.0
Block-232,72500.0,12.39,993400.6
Block-233,900.0,3.65,3285.3
Block-234,900.0,1.52,1422.3
Block-235,900.0,4.44,4075.4
Block-236,4500.0,7.84,36752.7
Block-237,1500.0,6.72,9986.7
Block-238,17000.0,9.56,204388.0
Block-239,2600.0,7.21,18680.2
Block-240,2100.0,7.7,15183.3
Block-241,1500.0,5.3,7814.4
Block-242,900.0,4.07,3709.8
Block-243,12100.0,14.18,166760.4
Block-244,900.0,3.96,3600.5
Block-245,1200.0,5.64,6874.8
Block-246,38300.0,8.91,358940.3
Block-247,6800.0,12.68,85731.0
Block-248,18500.0,6.04,111327.3
Block-249,4300.0,7.54,32081.8
Block-250,1200.0,6.1,7250.8
Block-251,58100.0,15.21,837995.9
Block-252,900.0,4.65,4180.4
Block-253,9600.0,13.78,113696.0
Block-254,5200.0,7.68,40349.4
Block-255,900.0,5.44,4946.2
Block-256,630700.0,22.4,13955348.4
Block-257,365300.0,17.16,6216524.2
Block-258,900.0,4.34,3936.6
Block-259,900.0,4.13,3733.9
Block-260,2000.0,7.04,14012.2
Block-261,8400.0,7.07,59952.3
Block-262,1500.0,6.07,9253.4
Block-263,900.0,4.28,3826.4
Block-264,4500.0,6.29,28435.9
Block-265,10300.0,8.48,84520.9
Block-266,900.0,3.56,3184.6
Block-267,18700.0,8.57,150645.2
Block-268,900.0,7.71,6782.1
Block-269,5000.0,17.83,83485.2
Block-270,2900.0,8.52,24702.7
Block-271,1800.0,4.58,8144.3
Block-272,900.0,5.22,4770.1
Block-273,2100.0,6.56,13676.1
Block-274,8800.0,7.21,61482.8
Block-275,1500.0,2.19,3339.5
Block-276,900.0,5.89,5300.9
Block-277,3000.0,5.69,16355.8
Block-278,900.0,4.65,4199.1
Block-279,3800.0,6.2,24274.4
Block-280,4700.0,6.34,29726.0
Block-281,28700.0,12.0,369301.0
Block-282,900.0,4.19,3763.7
Block-283,1800.0,3.12,5657.3
Block-284,900.0,3.9,3547.4
Block-285,2800.0,6.8,20098.6
Block-286,10600.0,8.47,86990.2
Block-287,1500.0,6.39,9580.1
Block-288,6000.0,7.54,43225.4
Block-289,6600.0,6.9,47996.1
Block-290,10100.0,6.42,67655.0
Block-291,900.0,2.99,2752.6
Block-292,1500.0,6.34,9394.7
Block-293,2400.0,5.04,12091.7
Block-294,900.0,4.46,4037.3
Block-295,3100.0,4.15,13086.2
Block-296,73500.0,8.98,688737.4
Block-297,12500.0,4.73,63947.5
Block-298,7400.0,7.04,55939.5
Block-299,31200.0,6.42,215341.3
Block-300,900.0,5.38,4830.9
Block-301,1200.0,8.0,9360.1
Block-302,2100.0,5.49,11505.3
Block-303,6800.0,4.99,33946.8
Block-304,1200.0,1.49,1763.3
Block-305,15400.0,10.61,154511.8
Block-306,1500.0,3.15,4860.7
Block-307,6600.0,8.96,57456.3
Block-308,7500.0,8.63,65209.6
Block-309,1200.0,3.38,4018.0
Block-310,1600.0,3.07,4829.2
Block-311,8600.0,0.11,15157.7
Block-312,900.0,3.05,2784.8
Block-313,11200.0,4.32,48890.1
Block-314,1500.0,4.33,6541.2
Block-315,1500.0,7.36,11236.1
Block-316,4200.0,4.41,17322.6
Block-317,900.0,2.56,2269.2
Block-318,2700.0,5.42,14986.3
Block-319,11900.0,8.23,104588.0
Block-320,3100.0,3.82,12118.3
Block-321,900.0,6.01,5414.6
Block-322,14400.0,15.52,212650.1
Block-323,1700.0,5.83,10629.9
Block-324,6200.0,5.83,36856.5
Block-325,21000.0,14.17,309308.6
Block-326,900.0,3.0,2691.2
Block-327,6000.0,14.79,83011.2
Block-328,5500.0,8.24,44569.8
Block-329,59700.0,9.43,568605.3
Block-330,900.0,3.83,3500.4
Block-331,2200.0,3.43,7855.9
Block-332,900.0,3.71,3326.4
Block-333,43000.0,12.28,524726.3
Block-334,900.0,8.01,7251.1
Block-335,126500.0,13.41,1791602.0
Block-336,900.0,3.07,2707.2
Block-337,900.0,2.52,2249.4
Block-338,4200.0,5.17,22493.7
Block-339,2400.0,7.88,19604.7
Block-340,3000.0,4.25,12274.2
Block-341,360700.0,10.03,3651482.4
Block-342,4500.0,6.25,32034.1
Block-343,3300.0,7.29,25066.5
Block-344,2400.0,7.07,16903.0
Block-345,1200.0,6.79,8245.6
Block-346,900.0,2.55,2225.9
Block-347,29400.0,16.7,488061.4
Block-348,13000.0,11.92,154860.8
Block-349,1700.0,4.85,9157.6
Block-350,900.0,4.53,4078.2
Block-351,99100.0,14.88,1412359.0
Block-352,67000.0,20.21,1320682.0
Block-353,5300.0,5.78,32497.7
Block-354,52300.0,8.58,448648.8
Block-355,900.0,3.19,3009.8
Block-356,900.0,6.36,5709.2
Block-357,2800.0,6.22,17134.8
Block-358,4800.0,5.3,29214.6
Block-359,96000.0,12.24,1253773.0
Block-360,22300.0,13.31,296202.7
Block-361,1800.0,4.19,7640.2
Block-362,7500.0,8.62,63242.3
Block-363,18300.0,9.67,183280.7
Block-364,2300.0,5.1,11803.0
Block-365,348000.0,12.29,4312811.7
Block-366,1200.0,5.06,6137.3
Block-367,1500.0,5.42,8172.9
Block-368,3500.0,4.32,14456.6
Block-369,5500.0,9.55,51377.2
Block-370,2200.0,4.46,9829.9
Block-371,21500.0,3.02,70243.5
Block-372,900.0,4.16,3749.2
Block-373,5100.0,6.42,31250.8
Block-374,9500.0,9.35,83911.2
Block-375,6500.0,5.71,36913.9
Block-376,3600.0,4.82,17138.8
Block-377,6500.0,3.7,25646.3
Block-378,1900.0,5.42,10461.8
Block-379,900.0,5.23,4579.0
