Block,Area_m2,MeanDepth_m,Volume_m3
Block-170,1200.0,3.86,4517.0
Block-171,50200.0,8.93,498859.9
Block-172,1500.0,3.62,5334.5
Block-173,8100.0,6.41,51218.9
Block-174,2400.0,5.52,13795.4
Block-175,4400.0,6.14,26570.5
Block-176,1500.0,3.79,5472.3
Block-177,1200.0,2.63,3160.3
Block-178,3700.0,9.75,33894.3
Block-179,900.0,3.73,3329.9
Block-180,2600.0,5.5,14156.0
Block-181,5600.0,4.57,24998.4
Block-182,900.0,3.01,2723.3
Block-183,2500.0,3.91,9861.8
Block-184,5800.0,4.92,27407.4
Block-185,900.0,2.61,2384.2
Block-186,77500.0,11.43,773515.6
Block-187,1500.0,2.65,4125.9
Block-188,900.0,3.74,3373.7
Block-189,2400.0,3.88,9552.7
Block-190,1900.0,6.63,12338.2
Block-191,1900.0,4.95,9488.2
Block-192,9900.0,8.92,88451.9
Block-193,3700.0,7.33,25866.6
Block-194,2300.0,4.71,11002.4
Block-195,3400.0,5.28,17650.4
Block-196,900.0,3.04,2767.3
Block-197,2400.0,3.66,9010.7
Block-198,16900.0,2.77,55595.8
Block-199,5500.0,4.74,24499.0
Block-200,900.0,3.92,3498.9
Block-201,900.0,3.78,3353.9
Block-202,1500.0,3.49,4982.7
Block-203,900.0,3.27,2916.6
Block-204,3200.0,5.03,15717.6
Block-205,1500.0,5.91,8983.6
Block-206,6000.0,3.81,22577.9
Block-207,900.0,1.94,1778.7
Block-208,5700.0,5.38,30350.2
Block-209,17300.0,4.31,85046.3
Block-210,1600.0,2.16,3566.0
Block-211,266300.0,19.28,5060080.5
Block-212,13500.0,11.04,141926.2
Block-213,7700.0,4.84,39710.4
Block-214,4500.0,3.92,17305.7
Block-215,3300.0,5.03,15934.6
Block-216,1200.0,4.45,5336.8
Block-217,1400.0,2.74,3817.2
Block-218,900.0,3.74,3443.1
Block-219,900.0,2.63,2318.6
Block-220,8800.0,6.97,59981.4
Block-221,900.0,3.75,3283.5
Block-222,1200.0,3.25,3887.3
Block-223,2400.0,0.21,898.2
Block-224,900.0,3.08,2751.1
Block-225,18200.0,8.08,142085.9
Block-226,2700.0,3.57,9231.2
Block-227,900.0,3.07,2708.7
Block-228,1200.0,4.04,4837.0
Block-229,65500.0,8.73,591879.5
Block-230,900.0,2.88,2575.2
Block-231,1900.0,4.67,8340.1
Block-232,1200.0,3.87,4665.7
Block-233,4100.0,7.25,28918.4
Block-234,1200.0,3.78,4542.9
Block-235,2200.0,5.42,12470.4
Block-236,900.0,3.27,2907.7
Block-237,900.0,2.61,2292.7
Block-238,5800.0,5.46,31115.1
Block-239,1500.0,3.36,4818.3
Block-240,900.0,2.15,1952.1
Block-241,5000.0,5.18,25029.7
Block-242,1400.0,4.1,5708.7
Block-243,30300.0,5.54,191662.2
Block-244,29700.0,7.17,223892.6
Block-245,4200.0,5.94,24265.8
Block-246,7900.0,8.58,66228.2
Block-247,141800.0,18.08,2745514.3
Block-248,900.0,4.67,4083.0
Block-249,900.0,1.87,1645.8
Block-250,1200.0,4.05,4808.0
Block-251,9800.0,4.69,47515.5
Block-252,21700.0,10.32,220160.9
Block-253,2300.0,3.72,8761.5
Block-254,900.0,3.97,3489.4
Block-255,3600.0,6.99,22951.7
Block-256,3900.0,4.45,17477.0
Block-257,900.0,3.17,2817.0
Block-258,3100.0,4.99,15354.7
Block-259,2900.0,6.56,19281.4
Block-260,900.0,3.3,2971.2
Block-261,900.0,2.38,2202.7
Block-262,1200.0,4.65,5591.4
Block-263,6600.0,6.16,38974.5
Block-264,900.0,3.3,2932.0
Block-265,25500.0,14.68,324990.3
Block-266,2400.0,4.13,10197.7
Block-267,8100.0,3.99,32873.8
Block-268,12500.0,10.88,126803.1
Block-269,900.0,3.0,2746.3
Block-270,54000.0,9.61,501176.3
Block-271,30200.0,6.32,183952.8
Block-272,9100.0,3.95,35941.3
Block-273,41100.0,12.06,469284.0
Block-274,1800.0,4.09,7407.3
Block-275,15200.0,6.6,105129.6
Block-276,3900.0,5.47,21559.7
Block-277,900.0,2.8,2557.5
Block-278,900.0,4.37,3932.2
Block-279,13700.0,9.25,133521.7
Block-280,10000.0,10.85,99741.2
Block-281,7800.0,7.64,59923.0
Block-282,900.0,2.99,2658.6
Block-283,21900.0,12.44,259154.0
Block-284,9700.0,8.65,78438.7
Block-285,1500.0,4.98,7470.4
Block-286,2200.0,5.21,11673.1
Block-287,9100.0,11.28,89919.6
Block-288,15000.0,7.19,105066.2
Block-289,10900.0,8.19,85662.0
Block-290,900.0,1.39,1234.4
Block-291,1800.0,4.3,7746.7
Block-292,1800.0,3.7,6479.8
Block-293,900.0,4.79,4280.2
Block-294,1700.0,3.72,6399.9
Block-295,2700.0,5.41,14786.5
Block-296,12200.0,5.99,71727.6
Block-297,3300.0,4.71,15111.3
Block-298,1800.0,3.83,6781.2
Block-299,165000.0,11.37,1874903.3
Block-300,2700.0,4.42,12034.2
Block-301,3200.0,3.41,10897.9
Block-302,13000.0,9.46,119580.3
Block-303,5400.0,7.55,38232.7
Block-304,2100.0,3.98,8170.8
Block-305,3700.0,5.79,20357.1
Block-306,3000.0,5.69,17023.1
Block-307,900.0,2.43,2263.8
Block-308,8200.0,7.14,57510.2
Block-309,7700.0,7.01,52557.7
Block-310,7900.0,9.38,72065.8
Block-311,1600.0,4.03,6614.0
Block-312,6500.0,6.31,40752.4
Block-313,6000.0,11.25,68556.0
Block-314,5700.0,5.61,31263.1
Block-315,1200.0,5.16,6228.9
Block-316,1400.0,4.13,5750.1
Block-317,1200.0,2.56,3093.7
Block-318,900.0,4.19,3758.1
Block-319,2200.0,6.67,14787.0
Block-320,77100.0,13.01,965128.4
Block-321,900.0,3.22,2881.7
Block-322,900.0,4.98,4453.5
Block-323,1500.0,6.38,9239.8
Block-324,900.0,4.79,4244.8
Block-325,2900.0,5.44,15604.9
Block-326,3100.0,3.65,11226.3
Block-327,2700.0,4.39,12342.5
Block-328,900.0,4.52,4023.6
Block-329,900.0,2.45,2167.2
Block-330,5800.0,8.8,49579.5
Block-331,900.0,4.89,4416.0
Block-332,900.0,4.11,3660.6
Block-333,7900.0,6.13,47089.2
Block-334,201500.0,12.31,2598734.4
Block-335,12900.0,3.66,48655.2
Block-336,59400.0,11.58,654952.1
Block-337,24400.0,8.86,201760.2
Block-338,1500.0,4.51,6605.8
Block-339,12800.0,13.08,162197.8
Block-340,13900.0,5.66,74049.3
Block-341,1200.0,4.78,5681.5
Block-342,1600.0,3.05,4817.8
Block-343,1900.0,4.83,9078.7
Block-344,13400.0,8.29,111043.5
Block-345,2100.0,5.64,11604.0
Block-346,16100.0,4.77,80889.3
Block-347,39900.0,7.19,284648.7
Block-348,900.0,4.04,3661.3
Block-349,900.0,3.44,3064.5
Block-350,15600.0,9.16,149475.5
Block-351,1200.0,4.09,4959.2
Block-352,1800.0,2.8,5262.1
Block-353,14400.0,4.03,71723.7
Block-354,1200.0,3.38,4058.9
Block-355,1500.0,4.29,6141.3
Block-356,900.0,4.74,4250.8
Block-357,1800.0,3.86,6872.5
Block-358,12900.0,7.83,106258.6
Block-359,6900.0,5.2,35881.4
Block-360,49500.0,8.27,411025.2
Block-361,30900.0,9.94,319389.4
Block-362,1800.0,4.16,7400.6
Block-363,5800.0,5.44,30774.1
Block-364,1800.0,4.67,8238.5
Block-365,24500.0,6.7,154209.2
Block-366,34900.0,11.81,391351.2
Block-367,28300.0,14.12,386908.9
Block-368,2500.0,3.9,9713.1
Block-369,900.0,3.99,3504.3
Block-370,27500.0,4.85,145306.4
Block-371,1200.0,3.44,4047.0
Block-372,900.0,1.92,1776.0
Block-373,8800.0,8.06,69756.0
Block-374,900.0,2.31,2113.6
Block-375,2600.0,4.71,12303.7
Block-376,1400.0,3.49,4918.3
Block-377,3000.0,6.0,17919.4
Block-378,1200.0,5.03,5904.2
Block-379,2300.0,3.17,7392.2
Block-380,7200.0,7.0,46399.7
Block-381,6100.0,7.47,42105.1
Block-382,900.0,4.91,4458.7
Block-383,7100.0,4.22,27728.8
Block-384,1200.0,3.45,4181.5
Block-385,2600.0,3.32,8531.2
Block-386,354700.0,14.43,5395465.2
Block-387,900.0,9.3,8241.2
Block-388,25300.0,7.93,214141.6
Block-389,900.0,3.06,2802.5
Block-390,12900.0,6.56,88755.7
Block-391,1200.0,4.77,5759.6
Block-392,44800.0,9.84,438510.8
Block-393,6800.0,10.23,61585.1
Block-394,5400.0,5.83,31566.6
