Block,Area_m2,MeanDepth_m,Volume_m3,OutsideLease
Block-1,124500.0,1.35,79015.7,Yes
Block-2,100100.0,2.1,139522.5,Yes
Block-3,147700.0,3.01,310427.1,Yes
Block-4,232500.0,2.4,371362.9,Yes
Block-5,150300.0,2.69,218879.7,Yes
Block-6,106700.0,2.12,118396.7,Yes
Block-7,114100.0,2.42,176928.9,Yes
TOTAL,975900.0,-,1414533.5,975900.0 m² VIOLATION
